file_name,TP,FP,TN,FN,TPR,FPR,TNR,FNR,ACC,sensitivity,specificity,weighted_acc,real_x,real_y,real_radius
f02_3606_-0.0000_-0.1963,84,113,9338,65,0.5637583892617449,0.011956406729446619,0.9880435932705534,0.436241610738255,0.9814583333333333,0.5637583892617449,0.9880435932705534,0.7759009912661492,61.28796100616455,60.414851903915405,7.219405960653704
f02_3607_-0.0000_-0.3927,34,115,9372,79,0.3008849557522124,0.012121850953936966,0.9878781490460631,0.6991150442477876,0.9797916666666666,0.3008849557522124,0.9878781490460631,0.6443815523991377,61.15834295749664,66.45816564559937,6.018929796828136
f02_3608_-0.0000_-0.5890,28,21,9466,85,0.24778761061946902,0.0022135553915884894,0.9977864446084115,0.7522123893805309,0.9889583333333334,0.24778761061946902,0.9977864446084115,0.6227870276139402,61.97703838348389,71.97468996047974,6.886969682165007
f02_362_-0.0000_0.5890,36,45,9442,77,0.3185840707964602,0.004743332981975335,0.9952566670180246,0.6814159292035398,0.9872916666666667,0.3185840707964602,0.9952566670180246,0.6569203689072424,39.6460485458374,43.626152873039246,6.037313278391175
f02_363_-0.0000_0.3927,56,25,9462,57,0.49557522123893805,0.002635184989986297,0.9973648150100137,0.504424778761062,0.9914583333333333,0.49557522123893805,0.9973648150100137,0.7464700181244759,39.77267265319824,49.29858684539795,6.484393162118392
f02_3648_0.7854_0.3927,12,37,9482,69,0.14814814814814814,0.0038869629162727177,0.9961130370837273,0.8518518518518519,0.9889583333333334,0.14814814814814814,0.9961130370837273,0.5721305926159377,40.00973582267761,45.41506826877594,5.878613901142146
f02_3649_0.7854_0.1963,6,43,9508,43,0.12244897959183673,0.004502146372107632,0.9954978536278923,0.8775510204081632,0.9910416666666667,0.12244897959183673,0.9954978536278923,0.5589734166098645,38.486342430114746,51.485488414764404,4.791079984844178
f02_364_-0.0000_0.1963,61,20,9431,88,0.40939597315436244,0.0021161781822029413,0.9978838218177971,0.5906040268456376,0.98875,0.40939597315436244,0.9978838218177971,0.7036398974860798,40.046892166137695,55.31956493854523,7.281962717269845
f02_3650_0.7854_-0.0000,12,37,9482,69,0.14814814814814814,0.0038869629162727177,0.9961130370837273,0.8518518518518519,0.9889583333333334,0.14814814814814814,0.9961130370837273,0.5721305926159377,38.29783916473389,57.799755334854126,5.456964988763283
f02_3651_0.7854_-0.1963,2,79,9440,79,0.024691358024691357,0.008299191091501209,0.9917008089084988,0.9753086419753086,0.9835416666666666,0.024691358024691357,0.9917008089084988,0.5081960834665951,39.17357683181763,64.06684398651123,5.290513963945049
f02_3652_0.7854_-0.3927,8,105,9414,73,0.09876543209876543,0.011030570438071227,0.9889694295619288,0.9012345679012346,0.9814583333333333,0.09876543209876543,0.9889694295619288,0.543867430830347,41.033207178115845,70.08715152740479,5.837900207915747
f02_3657_0.5890_0.3927,43,38,9481,38,0.5308641975308642,0.003992015968063872,0.9960079840319361,0.4691358024691358,0.9920833333333333,0.5308641975308642,0.9960079840319361,0.7634360907814002,44.39471364021301,45.48542082309723,5.370721400161791
f02_3658_0.5890_0.1963,45,4,9483,68,0.39823008849557523,0.0004216295983978075,0.9995783704016022,0.6017699115044248,0.9925,0.39823008849557523,0.9995783704016022,0.6989042294485888,43.56858730316162,51.48522734642029,6.558011047298572
f02_3659_0.5890_-0.0000,32,17,9534,17,0.6530612244897959,0.0017799183331588316,0.9982200816668412,0.3469387755102041,0.9964583333333333,0.6530612244897959,0.9982200816668412,0.8256406530783185,42.86841034889221,57.82306730747223,4.992839282857581
f02_365_-0.0000_-0.0000,81,236,9283,0,1.0,0.02479252022271247,0.9752074797772875,0.0,0.9754166666666667,1.0,0.9752074797772875,0.9876037398886437,39.39616560935974,61.56763315200806,5.503948876419175
